Premise Site Survey Form WARDS MUST UNLOCK ALL CLOSETS

Site Name:,,,N14,,,Date:,11/14/23,,,,Install new locks on building
Purchase Order #,,,43436767,,,By:,Jay and Arin
Address,,,295 S. State,,,Contact:,Jay Jones,,,,Key box code 7299
City State Zip,,,Mt Pleasant UT,,,,,,,,Keyway  C145

Line#,Door#,Cyl Quan,Brand,Type,Finish,Hand,Backset,Cam/Tail,Quan Keys,Key ID,Remarks,Ord,Pin,Inst
,1,1,Marks,KIL,26D,R,2 3/4,Wide,,A1/A2,East Downstairs Entrance
,2,1,Marks,KIL,26D,R,2 3/4,Wide,,A1/A2,Stake YM Room
,3,1,Schlague,KIK,Copper,R,2 3/4,L,,Mech,Door in lower hall to mech room
New lever,4,1,,KIL,26D,,,,,Mech,Mech at end of hall,,,,
New lever,5,1,,KIL,26D,,,,,Mech,Door leading to long hall
,6,1,Von Duprin,RIM,26D,L,,Rim,,GU,S Main Entrance
,7,1,Von Duprin,Rim,26D,R,,Rim,,Mech,S Entrance to downstairs
New Deadbolt,8,1,,DB,,,,,,GU,Member's Closet in S Hall
New Deadbolt,9,1,,DB,,,,,,RS1,Closet C in RS for 2nd Ward
New Deadbolt,10,1,,DB,,,,,,Mech,Closet B in RS room - Air Handler
New Deadbolt,11,1,,DB,,,,,,RS2,Closet C in RS room -
New Deadbolt,12,1,,DB,,,,,,A1,Closet C in Room 103 Nursery - Scout closet
New Deadbolt,13,1,,DB,,,,,,A2,Closet A in Room 103 Nursery -
New Deadbolt,14,1,,DB,,L,,,,A1,Closet B in Room 103 Nursery
,15,1,Schlague,KIK,Copper,L,,L,,GU,Kitchen
,16,1,Von Duprin,RIm,Copper,R,,Rim,,GU,South hall to cultural hall
New Deadbolt,17,1,,DB,,R,,,,GU,Member's Closet 
,18,1,Schlague,KIK,10B,R,2 3/4,L,,C1,Mount Pleasant 2nd Ward Clerk
,19,2,Schlague,KIK,10B,R,2 3/4,L,,B1,Clerk to bishop room 2nd ward
,20,1,Schlague,KIK,10B,L,2 3/4,L,,B1,Bishop 2nd Ward
New Deadbolt,21,1,Schlague,DB,,,,,,B1,Closet A in Bishop Mount Pleasant 2nd Ward Office
New Deadbolt,22,1,Schlague,DB,,,,,,GU,Closet S106
,23,1,Von Duprin,Rim,,L,,Rim,,GU,OS to foyer
,24,1,Von Duprin,Rim,,R,,Rim,,GU,Foyer to cultural hall
,25,1,Von Duprin,Rim,,R,,,,GU,Foyer to chapel
,26,1,Von Duprin,RIm,,L,,Rim,,GU,OS to chapel
,27,1,Schlague,KIK,10B,L,2 3/4,L,,GU,Right closet door on rostrom
New Deadbolt,28,1,,DB,,,,,,GU,Closet S202
New Deadbolt,29,1,,DB,,,,,,Mech,Closet S201
New Deadbolt,30,1,,DB,,,,,,A1,Closet A in Primary - 2nd ward yw
New Deadbolt,31,1,,DB,,,,,,GU,Closet A in Room 210
New Deadbolt,32,1,,DB,,,,,,A1,S204 2nd ward primary closet
New Deadbolt,33,1,,DB,,,,,,R,Closet S203
New Deadbolt,34,2,Schlague,KIK,10B,R,2 3/4,L,,MC,Library
,35,1,Schlague,KIK,10B,L,2 3/4,L,,MC,Library
,36,1,Schlague,KIK,10B,L,2 3/4,L,,MC,Library into classroom
,37,1,Schlague,KIK,10B,L,2 3/4,L,,RS2,S104
,38,1,WON,MORT,,,,MORT,,RS1/RS2,S103
,39,1,Schlague,KIK,10B,L,2 3/4,L,,A2,S102
,40,1,Schlague,KIK,10B,R,2 3/4,L,,HC,High council room
,41,1,Schlague,KIK,10B,R,2 3/4,L,,SP,High council to stake president office
,42,1,Schlague,KIK,10B,L,2 3/4,L,,HC,Stake Suite to high council chamber
,43,1,Schlague,KIK,10B,L,2 3/4,L,,SC,Stake Suite waiting area
,44,1,Schlague,KIK,10B,R,2 3/4,L,,SC,Stake Clerk office
,45,1,Schlague,KIK,10B,R,2 3/4,L,,SC,Closet A in Clerk's office
,46,1,Schlague,KIK,10B,R,2 3/4,L,,SP,Stake president office from waiting area
,47,1,Schlague,KIK,10B,R,2 3/4,L,,SC,S105 Stake interview room
,48,1,Schlague,KIK,10B,L,2 3/4,L,,GU,S101
,49,1,Schlague,KIK,10B,L,2 3/4,L,,Mech,Closet M101
,50,1,Von Duprin,Rim,,L,Rim,,,GU,N Entrance By Stake Suite
,51,1,Von Duprin,Rim,,,Rim,,,GU,Cultural Hall entrance by stake suite
,52,1,Von Duprin,Rim,,,Rim,,,GU,Podium Access
New Deadbolt,53,1,,,,,,,,FONT,Font - boys access
New Deadbolt,54,1,,,,,,,,FONT,Mens font to mens dressing
,55,1,AR Won door,Mort,,,,,,FONT,Font won door
New Deadbolt,56,1,,,,,,,,FONT,Font - girls access
New Deadbolt,57,1,,,,,,,,FONT,Girls font to girls dressing
,58,1,Von Duprin,Rim,,R,Rim,,,GU,Overflow to cultural hall
,59,1,Von Duprin,Rim,,R,Rim,,,GU,Overflow to chapel
,60,1,Von Duprin,Rim,,R,Rim,,,GU,NW OS Entrance to foyer
,61,1,Schlague,KIK,10B,R,2 3/4,L,,C2,Clerks office Mount Pleasant 3rd
,62,1,Schlague,KIK,10B,L,2 3/4,L,,B2,Clerk to bishop Mount Pleasant 3rd
,63,1,Schlague,KIK,10B,L,2 3/4,L,,B2,Bishop Mount Pleasant 3rd
,64,1,Schlague,KIK,10B,R,2 3/4,L,,C2,Interview room
New padlock,65,1,Padlocl,,,,,,,SNOW,Snow shed
,66,1,Schlague,KIK,10B,L,2 3/4,,,A1/A2,Scout Closet
