Premise Site Survey Form

Site Name:,,,N32,,,Date:,09/30/23,,,,Install new locks on building
Purchase Order #,,,43429959,,,By:,Jay and Angel
Address,,,295 W 200 N,,,Contact:,Jay Jones,,,,Key box code 8047
City State Zip,,,Delta Ut

Line#,Door#,Cyl Quan,Brand,Type,Finish,Hand,Backset,Cam/Tail,Quan Keys,Key ID,Remarks,Ord,Pin,Inst
,1,1,Sargeant,RIM,26D,R,,RIM,,GU,NW MAIN ENTRANCE
,2,2,NEW LEVER,KIL/DB,26D,R,2 3/4,KIL/DB,,MECH,HALL TO STORAGE ROOM
,3,1,NEW LEVER,KIL,26D,R,2 3/4,KIL,,MECH,HALL TO BOILER ROOM
,4,1,PANIC,RIM,26D,R,,RIM,,GU,HALL TO REC AREA
,5,1,OVERHEAD DOOR,RIM,26D,,,,,MECH,OVERHEAD DOOR
,6,1,NEW LEVER,KIL,26D,R,,KIL,,MECH,N OS TO BOILER ROOM
,7,1,OVERHEAD DOOR,RIM,26D,,,,,MECH,OVERHEAD DOOR
,8,1,SARGEANT,RIM,26D,R,,RIM,,GU,NW ENTRANCE TO REC
,9,1,NEW LEVER,KIL,26D,R,,KIL,,MECH,HALL TO MECHANICAL ROOM
,10,1,PANIC,RIM,26D,L,,RIM,,GU,HALL TO REC AREA
,11,2,NEW LEVER,KIL/DB,26D,R,,KIL/DB,,MECH,MECH AT BOTTOM OF STAIRS SE SIDE
,12,1,SARGEANT,RIM,26D,R,,RIM,,GU,SE ENTRANCE
,13,1,SCHLAGE,DB,26D,R,2 3/4,DB,,GU,CLOSET IN REC AREA
,14,2,SARGEANT,RIM,26D,R,,RIM,,GU,SW ENTRANCE





















,,,,,,,,,,,,,,,UX1
