Premise Site Survey Form WARDS MUST UNLOCK ALL CLOSETS

Site Name:,,,N55,,,Date:,12/06/23,,,,Install new locks on building
Purchase Order #,,,43436782,,,By:,Jay and Arin
Address,,,545 N 200 E,,,Contact:,Jay Jones,,,,KEY CODE 3090
City State Zip,,,Santaquin,,,,,,,,Keyway  C123

Line#,Door#,Cyl Quan,Brand,Type,Finish,Hand,Backset,Cam/Tail,Quan Keys,Key ID,Remarks,Ord,Pin,Inst
,1,1,Von Duprin,Rim,26D,L,,Rim,,GU,North Main Entrance
,2,1,Schlage,KIL,26D,L,2 3/4,Medium,,B2,Bishop Santaquin 6th
,3,1,Schlage,KIL,26D,L,2 3/4,Medium,,C2,Clerk Santaquin 6th
,4,1,Sargent,Rim?,26D,L,,Rim?,,GU,NE Chapel Entrance,,,,
,5,1,Schlage,KIL,26D,L,2 3/4,Medium,,B1,Bishop Santaquin 1st
,6,1,Schlage,KIL,26D,L,2 3/4,Medium,,B1,Clerk Santaquin 1st
,7,1,Schlage,KIL,26D,L,2 3/4,Medium,,B3,Bishop Santaquin 9
,8,1,Schlage,KIL,26D,L,2 3/4,Medium,,C1,Clerk Santaquin 9
,9,2,Sargent,Rim?,26D,L/R,,Rim?,,GU,NW Chapel Entrance
,10,1,Schlage,KIL,26D,L,2 3/4,Medium,,C4,Clerk Santaquin 12
,11,1,Schlage,KIL,26D,R,2 3/4,Medium,,B4,Bishop Santaquin 12
,12,1,Schlage,KIL,26D,R,2 3/4,Medium,,MC,Library
,13,1,Schlage,KIL,26D,L,2 3/4,Medium,,MC,Library
,14,1,Schlage,KIl,26D,R,2 3/4,Medium,,Mech,Water shut off
,15,1,Von Duprin,Rim,,,,,,Dummy,West OS Entrance
,16,1,Schlage,DB,26D,R,2 3/4,DB,,Font,Girls locker to font
,17,1,Schlage,DB,26D,L,2 3/4,DB,,Font,RS West to Font
,18,1,Schlage,DB,26D,R,2 3/4,DB,,Font,RS Font View
,19,1,Schlage,DB,26D,R,2 3/4,DB,,Font,RS East to Font
,20,1,Schlage,DB,26D,L,2 3/4,DB,,Font,Boys locker to font
,21,1,Schlage,KIL,26D,L,2 3/4,Medium,,Mech,Air Control Room
,22,1,Schlage,KIL,26D,L,2 3/4,Medium,,Mech/AV,Inside classroom to upstairs
,23,1,Schlage,KIL,26D,L,2 3/4,Medium,,Mech,OS to upstairs mech
,24,1,Schlage,KIL,26D,R,2 3/4,Medium,,Sports,Closet A Stake Sports
,25,1,Schlage,KIL,26D,R,2 3/4,Medium,,GU,S101 Hall to cupboards
,26,1,Schlage,KIL,26D,L,2 3/4,Medium,,GU,Kitchen to Hall
,27,1,Schlage,KIL,26D,R,2 3/4,Medium,,GU,Kitchen to YW
,28,1,Schlage,KIL,26D,L,2 3/4,Medium,,H,Stake Humanitarian
,29,2,Sargent,Rim?,26D,L/R,,Rim?,,GU,SW Chapel Entrance
,30,1,Schlage,KIL,26D,R,2 3/4,Medium,,HC,High Council Room
,31,1,Schlage,KIL,26D,R,2 3/4,Medium,,SC,Stake Suite Entrance to Hall
,32,1,Schlage,KIL,26D,R,2 3/4,Medium,,HC,Interview Room
,33,1,Schlage,KIL,26D,R,2 3/4,Medium,,SC,Stake Clerk office
,34,1,Schlage,KIL,26D,L,2 3/4,Medium,,HC,East entrance to HC
,35,1,Schlage,KIL,26D,R,2 3/4,Medium,,SP,HC to SP Office
,36,1,Schlage,KIL,26D,R,2 3/4,Medium,,SP,Hall to SP Office
,37,1,Von Duprin,Rim,26D,,,Rim,,Dummy,OS to stake suite
,38,1,Sargent,Rim?,26D,R,,Rim?,,HC,Stake Suite to Chapel
,39,1,Schlage,KIL,26D,,2 3/4,Medium,,Mech,Fire Riser
,40,1,Schlage,KIL,26D,,2 3/4,Medium,,Mech,Electrical Panel OS
,41,1,Padlock,,,,,,,Mech,Satelite Fence Padlock
,42,2,Schlage,KIL/DB,26D,L,2 3/4,Medium,,Snow,Snow Shed
,43,2,Schlage,KIL/DB,26D,L,2 3/4,Medium,,A2,6th Ward YMYW closet
New Lever,44,2,Schlage,KIL/DB,26D,L,2 3/4,Medium,,A1,1st Ward YMYW closet
,45,2,Schlage,KIL/DB,26D,L,2 3/4,Medium,,A3,9th Ward YMYW closet
,46,1,Schlage,KIL,26D,R,2 3/4,Medium,,H,Door 111 on stage Stake Humanitarian
