Premise Site Survey Form WARDS MUST UNLOCK ALL CLOSETS

Site Name:,,,N6,,,Date:,12/30/99,,,,Install new locks on building
Purchase Order #,,,43430972,,,By:,Jay and Arin
Address,,,222 S. 100 E,,,Contact:,Jay Jones,,,,KEY CODE  0111
City State Zip,,,Nephi Ut,,,,,,,,C145

Line#,Door#,Cyl Quan,Brand,Type,Finish,Hand,Backset,Cam/Tail,Quan Keys,Key ID,Remarks,Ord,Pin,Inst
,1,1,Von Duprin,Rim,10B,L,,Rim,,GU,SE Main Entrance
,2,1,Marks,KIL,26D,L,2 3/4,WM,,Mech,Mechanical Closet Next to SE Entrance
,3,1,Marks,KIL,26D,L,2 3/4,WM,,A2,2nd Ward Primary/YW Closet CC
,4,1,Von Duprin,Rim,10B,L,,Rim,,GU,SW Entrance,,,,
,5,1,Olympus,KIK,26D,R,,None
,6,1,Olympus,KIk,26D
,7,1,Marks,KIL,26D,L,2 3/4,WM,,Mech/AV,Custodian Closet by W Restroom With AV Inside
,8,1,Schlage,DB,26D,L,2 3/4,DB,,Font,Women's Restroom to Changing Room
,9,2,Schlage,DB,26D,R,2 3/4,DB,,Font,Women's Changing Room to Font
,10,1,Schlage,DB,26D,L,2 3/4,DB,,Font,Font Control Valves
,11,2,Schlage,DB,26D,R,2 3/4,DB,,Font,Women's Side Entrance Font Viewing Room
,12,1,Won Door,Mort,26D,,,A/R,,Font,Font Won Door
,13,2,Schlage,DB,26D,L,2 3/4,DB,,Font,Baptismal Font Viewing to Men's Side
,14,1,Schlage,DB,26D,L,2 3/4,DB,,Font,Font Clothing Closet
,15,2,Schlage,DB,26D,R,2 3/4,DB,,Font,Font to Men's Changing Room
,16,1,Schlage,DB,26D,R,2 3/4,DB,,Font,Men's Restroom to Font Changing Room
,17,1,Marks,KIL,26D,L,2 3/4,WM,,A1,First Ward Closet
,18,2,Schlage,DB,26D,R,2 3/4,DB,,Mech,Door that goes between classroom 8 and 9
,19,1,Marks,KIL,26D,R,2 3/4,WM,,A3,7th Ward YM/YW
,20,2,Schlage,DB,26D,R,2 3/4,DB,,GU,SE Stage Entrance
,21,1,Marks,KIL,26D,R,2 3/4,WM,,Mech,High Double Doors on Stage Mech Room East Side
,22,1,Marks,KIl,26D,R,2 3/4,WM,,Mech,High Double Doors on Stage Mech Room West Side
,23,1,Schlage,DB,26D,R,2 3/4,DB,,GU,Custodian Room Key
Lever,24,2,Marks/Arrow,KIL,26D,L,2 3/4,WM/M,,MC,Library
,25,2,Von Duprin,Rim,26D,L/R,,Rim,,GU,SE Cultural Hall Door
,26,1,Olympus,KIK,26D,L,,None,,A3,7th Ward Closet K
,27,1,Olympus,KIK,26D,L,,None,,A3,7th Ward Closet J
,28,1,Olympus,KIK,26D,L,,None,,A3,7th Ward Closet I
,29,1,Olympus,KIK,26D,L,,None,,GU,Closet H
,30,1,Olympus,KIK,26D,L,,None,,GU,Closet G
,31,1,Olympus,KIK,26D,L,,None,,A1,Closet F First Ward Music
,32,1,Olympus,KIK,26D,L,,None,,A3,YW Closet E
