Premise Site Survey Form

Site Name:,,,CALLAO Bldg # 41,,,Date:,05/06/23
Purchase Order #,,,,,,By:,Jay/ Arin Jones
Address,,,1068 S. Snake Velley Rd.,,,Contact:,Jay/ Arin Jones 801-465-9621
City State Zip,,,"CALLAO, Ut. 84083"

Line#,Door#,Cyl Quan,Brand,Type,Finish,Hand,Backset,Cam/Tail,Quan Keys,Key ID,Remarks,Ord,Pin,Inst
,1,2,Sarg,Rim,26D,R/L,,Rim,,B M,East main entrance
,2,1,Corbin,KIL,26D,R,2 3/4,Medium,,GU,Mother's room
,3,1,Corbin,KIL,26D,R,2 3/4,Medium,,SND,Chapel stage left - Sound Room
,4,1,Corbin,KIL,26D,L,2 3/4,Medium,,Mech,Air handler/Internet room
,5,1,Corbin,KIL,26D,R,2 3/4,Medium,,B1,Bishop
,6,1,Corbin,KIL,26D,L,2 3/4,Medium,,C1/MC,Clerk/Library - has attic access
,7,1,Corbin,KIL,26D,L,2 3/4,Medium,,GU,Kitchen
,8,0,Corbin,KIL,26D,L,2 3/4,Medium,,,RS Room - no cylinder
,9,0,Corbin,KIL,26D,R,2 3/4,Medium,,,RS/Primary Room - no cylinder
,10,1,Corbin,KIL,26D,L,2 3/4,Medium,,Bapt,Baptismal font
,11,1,Corbin,KIL,26D,R,2 3/4,Medium,,Bapt,Baptismal font to RS/Primary room
,12,1,Corbin,KIL,26D,R,2 3/4,Medium,,R1,Closet in RS/Primary room
,13,1,Arrow,KIL,26D,L,2 3/4,Medium,,Mech,*New Knob - Pump house,*
,14,1,Arrow,KIL,26D,L,2 3/4,Medium,,Aux 1,*New Knob - Scout closet,*
,15,1,Padlock,PL,,,,1.5 inch shackle,,SNO,*New Padlock - Snow shed padlock,*
,16,1,Padlock,PL,,,,1.5 inch shackle,,Mech,*New Padlock - Propane tank,*
