Premise Site Survey Form

Site Name:,,,N30,,,Date:,09/30/23,,,,Install new locks on building
Purchase Order #,,,43429952,,,By:,Jay and Angel
Address,,,222 w 200 n,,,Contact:,Jay Jones,,,,Key box code 9350
City State Zip,,,Delta Ut

Line#,Door#,Cyl Quan,Brand,Type,Finish,Hand,Backset,Cam/Tail,Quan Keys,Key ID,Remarks,Ord,Pin,Inst
,1,1,Marks,KIL,10B,R,2 3/4,M,,SNOW,NEW LEVER ON SNOW SHED
,2,2,Schlage,KIL,10B,R,2 3/4,M,,SNOW,NEW LEVER ON SNOW SHED E/N DOOR ON SHED
,3,2,Schlage,KIL,10B,R,2 3/4,M,,SNOW,NEW LEVER ON SNOW SHED N/E DOOR ON SHED
,4,1,Schlage,KIL,10B,L,2 3/4,M,,SNOW,NEW LEVER ON SNOW SHED N/W DOOR ON SHED
,5,1,VON DUPRIN,RIM,10B,R,,RIM,,GU,OS WEST ENTRANCE
,6,1,Schlage,DB,COPPER,R,2 3/4,DB,,FONT,FONT DOOR BY MEN'S DRESSING ROOM
,7,1,Schlage,DB,COPPER,L,2 3/4,DB,,FONT,FONT DOOR BY WOMEN'S RESTROOM
,8,1,Sargeant,EXIT DEVICE,10B,R,,RIM,,,RS TO OUTSIDE NEW DUMMY RIM
,9,1,Schlage,KIK,COPPER,L,2 3/4,L,,GU,WEST HALL ENTRANCE TO RS
,10,1,Schlage,KIK,COPPER,R,2 3/4,L,,GU,NORTH HALL ENTRANCE TO RS
,11,1,Schlage,KIK,COPPER,L,2 3/4,L,,GU,HALL TO KITCHEN
,12,1,Schlage,KIK,COPPER,R,2 3/4,L,,FONT,FONT VIEWING TO CULTURAL HALL
,13,1,Schlage,KIK,COPPER,R,2 3/4,L,,MECH,MECH CLOSET IN NORTH HALL
,14,2,VON DUPRIN,RIM,10B,R,2 3/4,RIM/DUMMY,,GU,NORTH MAIN ENTRANCE 1 RIM / 1 DUMMY RIM
,15,1,Schlage,KIK,COPPER,R,2 3/4,L,,MECH,MECHANICAL IN NORTH HALL
,16,1,Schlage,KIK,COPPER,R,2 3/4,L,,B1,DELTA 8TH BRANCH
,17,1,Schlage,KIK,COPPER,L,2 3/4,L,,B2,DELTA 2ND BRANCH
3,18,1,Schlage,KIK,COPPER,R,2 3/4,L,,?,SHARED CLERK'S OFFICE OF C1 AND C2
,19,1,Schlage,KIK,COPPER,R,2 3/4,L,,B3,DELTA 1ST WARD BISHOP'S OFFICE
,20,1,Schlage,KIK,COPPER,L,2 3/4,L,,C3,DELTA 1ST WARD CLERK'S OFFICE
,21,1,Schlage,KIK,COPPER,R,2 3/4,L,,MECH,MECHANICAL BY 1ST WARD CLERK'S OFFICE
,22,1,Schlage,KIK,COPPER,R,2 3/4,L,,AV,AUDIO VIDEO CLOSET / ELECTRONIC ACCESS POINT
,23,1,Schlage,KIK,COPPER,R,2 3/4,L,,MECH,ACROSS HALL FROM AV
,24,1,Schlage,KIK,COPPER,R,2 3/4,L,,MC,ROOM 30 LIBRARY TVS AND SUPPLIES
,25,1,Schlage,KIK,COPPER,L,2 3/4,L,,MC,LIBRARY
,26,1,VON DUPRIN,RIM,10B,,1/17,RIM/DUMMY,,GU,SOUTH OS ENTRANCE
,27,1,Schlage,KIK,COPPER,R,2 3/4,L,,MECH,MECHANICAL IN SOUTH HALL
,28
,29
,30
,31
,32
,33


,,,,,,,,,,,,,,,UX1
